id,symbol,name,market_cap_rank,market_cap,vol_24h,ret_7d,rs_7d_vs_btc,ret_30d,rs_30d_vs_btc,ret_90d,rs_90d_vs_btc,momentum_score
rain,rain,Rain,45,3415092985,46065348.0,0.05984351226423734,0.12262893317743384,0.43738917673793765,0.41522283143235006,2.1480518208950183,2.369489968098788,4.692343852725113
monero,xmr,Monero,20,9368668243,98650436.0,-0.137735276935548,-0.07494985602235149,0.14249033643499165,0.12032399112940406,0.44004844138860566,0.6614865885923754,1.1967654372303427
canton-network,cc,Canton,29,5868561993,10414454.0,0.29330435668073185,0.35608977759392835,0.5756366624793765,0.5534703171737889,0.07050609121844342,0.2919442384222132,1.0144681766642711
world-liberty-financial,wlfi,World Liberty Financial,34,4844981115,78557553.0,0.06358640399187743,0.12637182490507393,0.2990799466863765,0.2769136013807889,0.2033171864050105,0.42475533360878026,0.9408196744774586
pax-gold,paxg,PAX Gold,57,2049992834,274655014.0,0.10123935222697256,0.16402477314016906,0.1216154724121361,0.09944912710654852,0.2456472063632611,0.46708535356703085,0.8201486680288641
tether-gold,xaut,Tether Gold,50,2631611036,274489950.0,0.09383841635282231,0.1566238372660188,0.11640289464864395,0.09423654934305636,0.23709129122391315,0.4585294384276829,0.7982788068729885
whitebit,wbt,WhiteBIT Coin,15,11628767430,17238257.0,-0.05263101129924619,0.01015440961395031,-0.03344154734731197,-0.05560789265289956,0.25356268044803754,0.4750008276518073,0.644660862319071
internet-computer,icp,Internet Computer,59,1911776700,45924425.0,-0.1384828097312948,-0.07569738881809829,0.14500540411500618,0.12283905880941859,0.04920023588990308,0.27063838309367283,0.4757756687267539
bitcoin,btc,Bitcoin,1,1783865809165,16731554372.0,-0.0627854209131965,0.0,0.022166345305587587,0.0,-0.22143814720376975,0.0,0.4697911095632998
bitcoin-cash,bch,Bitcoin Cash,14,11868800154,170370576.0,0.0015378206663316796,0.06432324157952818,0.007703424556034788,-0.014462920749552799,0.0636629461824032,0.28510109338617295,0.3475961529373895
usd1-wlfi,usd1,USD1,35,4705053627,2559560222.0,0.000954615565690764,0.06374003647888726,-0.0013643717806819389,-0.023530717086269526,-0.0008256966603001903,0.22061245054346956,0.3091116073396202
tron,trx,TRON,8,27964724007,484933409.0,-0.07290877398370221,-0.010123353070505714,0.05904923441649146,0.03688288911090387,-0.017460919647806494,0.20397722755596326,0.26946259092104075
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),21,8969937787,979921763.0,-0.0010325037738417864,0.06175291713935471,-0.00045467067195170685,-0.022621015977539294,-0.001954668749668542,0.2194834784541012,0.2478060598360421
htx-dao,htx,HTX DAO,65,1635997293,19757719.0,0.003304605036322128,0.06609002594951863,0.08813956902719444,0.06597322372160686,-0.049263838407600846,0.1721743087961689,0.22679469898417087
paypal-usd,pyusd,PayPal USD,42,3758941662,20658930.0,-0.0004951881245316425,0.06229023278866486,0.0006941901547450335,-0.021472155150842553,-0.0004560286027476268,0.22098211860102213,0.21530497152482858
usdt0,usdt0,USDT0,38,4549012616,124711602.0,-0.0010414875939238621,0.06174393331927264,-0.000864144872831929,-0.023030490178419516,-0.0020731727518037424,0.219364974451966,0.21447679228024624
zcash,zec,Zcash,28,5972571050,271114134.0,-0.09797113005878544,-0.03518570914558894,-0.17932630213230805,-0.20149264743789563,0.029418981550251244,0.250857128754021,0.07073176313547197
ethereum,eth,Ethereum,2,357043784822,8395398467.0,-0.10801971659777154,-0.04523429568457504,0.01684264363933874,-0.005323701666248848,-0.29305763854446876,-0.071619491340699,0.01321646973187307
pepe,pepe,Pepe,56,2105544487,213413198.0,-0.13856393323700067,-0.07577851232380417,0.28738404247744764,0.26521769717186006,-0.32100955684071353,-0.09957140963694378,-0.03607191042028309
binancecoin,bnb,BNB,4,121039440860,556517128.0,-0.06413738381140566,-0.001351962898209158,0.06807371788216643,0.04590737257657884,-0.2207135183891411,0.0007246288146286473,-0.09272340810008355
shiba-inu,shib,Shiba Inu,37,4620988130,66321634.0,-0.07953729671835363,-0.016751875805157135,0.10676242595849739,0.0845960806529098,-0.26578294340849906,-0.04434479620472931,-0.1496894239808075
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,24,6950651520,85545613.0,-0.06324139827485187,-0.0004559773616553686,0.023770867332863377,0.0016045220272757899,-0.22391447211670978,-0.002476324912940031,-0.16811855956840407
bitget-token,bgb,Bitget Token,51,2548067301,50681158.0,-0.03624146180044785,0.02654395911274865,0.053549235356883385,0.0313828900512958,-0.2429298648403816,-0.02149171763661184,-0.16994732510165178
wrapped-bitcoin,wbtc,Wrapped Bitcoin,16,11138428995,53279592.0,-0.06463243470289737,-0.0018470137897008687,0.020040282978172286,-0.002126062327415301,-0.227502589290125,-0.0060644420863552595,-0.18031466681952976
ripple,xrp,XRP,5,116781373602,1021550280.0,-0.07238096764985047,-0.00959554673665397,0.04469114914723282,0.022524803841645236,-0.27871964295308094,-0.057281495749311184,-0.2093030776383702
wrapped-steth,wsteth,Wrapped stETH,13,12384611335,19719825.0,-0.10651233165213381,-0.04372691073893731,0.01969906228022844,-0.002467283025359146,-0.2882049641915081,-0.06676681698773834,-0.29411015146894776
weth,weth,WETH,26,6712878404,77350006.0,-0.10812669002292907,-0.045341269109732574,0.017841755191845277,-0.00432459011374231,-0.29232486230448695,-0.0708867151007172,-0.3016800206798982
staked-ether,steth,Lido Staked Ether,9,27712365658,11100611.0,-0.10650713696605596,-0.04372171605285946,0.01633640380950907,-0.005829941496078517,-0.2911666712995403,-0.06972852409577057,-0.30381913532059973
binance-peg-weth,weth,Binance-Peg WETH,62,1789008795,12079941.0,-0.105173961494332,-0.0423885405811355,0.012073137882795848,-0.010093207422791739,-0.29547139209237183,-0.07403324488860208,-0.31668954658641235
polkadot,dot,Polkadot,46,3194019373,61076864.0,-0.11885853911037503,-0.05607311819717853,0.16215907848912803,0.13999273318354044,-0.397991662869147,-0.17655351566537725,-0.3296711609234754
the-open-network,ton,Toncoin,43,3759545382,53517375.0,-0.11601306548968149,-0.05322764457648499,0.025790638439137092,0.0036242931335495054,-0.31245435655880105,-0.0910162093550313,-0.3305267403979383
solana,sol,Solana,7,71979924098,1769792279.0,-0.11242859399162497,-0.04964317307842847,0.05929982139359913,0.03713347608801154,-0.3736843895250689,-0.15224624232129913,-0.33916630986869806
aave,aave,Aave,52,2372084448,150790734.0,-0.10108907411979395,-0.038303653206597454,0.04847597614807664,0.02630963084248905,-0.35176527181445505,-0.1303271246106853,-0.37304639197417294
