id,symbol,name,market_cap_rank,market_cap,llama_slug,tvl_usd,tvl_change_7d,tvl_change_30d,tvl_mcap_ratio
bitcoin,btc,Bitcoin,1,1783865809165,bitcoin,,,,
ethereum,eth,Ethereum,2,357043784822,ethereum-foundation,,,,
binancecoin,bnb,BNB,4,121039440860,binance-smart-chain,,,,
ripple,xrp,XRP,5,116781373602,,,,,
solana,sol,Solana,7,71979924098,solana,,,,
tron,trx,TRON,8,27964724007,tron,,,,
staked-ether,steth,Lido Staked Ether,9,27712365658,,,,,
dogecoin,doge,Dogecoin,10,20948494449,dogecoin,,,,
cardano,ada,Cardano,12,13197078372,cardano,,,,
wrapped-steth,wsteth,Wrapped stETH,13,12384611335,,,,,
bitcoin-cash,bch,Bitcoin Cash,14,11868800154,,,,,
whitebit,wbt,WhiteBIT Coin,15,11628767430,whitebit,,,,
wrapped-bitcoin,wbtc,Wrapped Bitcoin,16,11138428995,,,,,
monero,xmr,Monero,20,9368668243,,,,,
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),21,8969937787,,,,,
chainlink,link,Chainlink,22,8659663283,chainlink-staking,0.0,,,0.0
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,24,6950651520,,,,,
stellar,xlm,Stellar,25,6893222657,stellar-dex,12917909.0,-0.0914321902117482,-0.2751328469540355,0.001874001413095512
weth,weth,WETH,26,6712878404,,,,,
zcash,zec,Zcash,28,5972571050,,,,,
canton-network,cc,Canton,29,5868561993,,,,,
hyperliquid,hype,Hyperliquid,30,5622209873,hyperliquid-perps,,,,
sui,sui,Sui,31,5624003724,sui-foundation,,,,
litecoin,ltc,Litecoin,32,5219288297,litecoin,,,,
avalanche-2,avax,Avalanche,33,5213237651,avalanche,,,,
world-liberty-financial,wlfi,World Liberty Financial,34,4844981115,,,,,
usd1-wlfi,usd1,USD1,35,4705053627,,,,,
hedera-hashgraph,hbar,Hedera,36,4645134301,hedera,,,,
shiba-inu,shib,Shiba Inu,37,4620988130,shibex,5352.0,-0.19928186714542195,-0.22333478450152378,1.1581938428394102e-06
usdt0,usdt0,USDT0,38,4549012616,,,,,
paypal-usd,pyusd,PayPal USD,42,3758941662,,,,,
the-open-network,ton,Toncoin,43,3759545382,ton,,,,
